avg_monthly_hrs,department,filed_complaint,last_evaluation,n_projects,recently_promoted,salary,satisfaction,tenure,status
221,engineering,0,0.933,4,0,low,0.83,5,Left
232,support,1,0.73,3,0,low,0.835,2,Employed
184,sales,0,0.789,3,0,medium,0.835,3,Employed
206,sales,0,0.576,4,0,low,0.425,2,Employed
249,sales,0,0.845,3,0,low,0.779,3,Employed
140,sales,0,0.589,4,0,medium,0.66,4,Employed
121,sales,1,0.625,3,0,low,0.836,3,Employed
150,engineering,0,0.645,4,0,low,0.797,3,Employed
215,engineering,1,0.524,3,0,medium,0.715,7,Employed
269,support,0,0.99,5,0,medium,0.994,2,Employed
147,sales,0,0.73,2,0,medium,0.44,3,Left
188,sales,1,0.925,6,0,low,0.481,5,Employed
191,support,0,0.947,5,0,low,0.925,4,Employed
290,engineering,0,0.77,6,0,medium,0.9,4,Left
253,sales,0,0.58,5,0,medium,0.628,6,Employed
258,support,0,0.838,5,0,medium,0.85,5,Left
151,engineering,0,0.453,4,0,medium,0.659,3,Employed
252,IT,0,0.919,5,0,low,0.893,5,Left
276,product,0,0.57,4,0,low,0.382,2,Employed
154,marketing,0,0.73,2,0,low,0.422,3,Left
259,product,0,0.764,2,0,low,0.787,3,Employed
136,marketing,0,0.73,3,0,low,0.441,3,Employed
176,IT,0,0.73,3,0,low,0.871,3,Employed
231,support,0,0.938,4,0,medium,0.668,3,Employed
125,temp,0,0.73,2,0,medium,0.669,3,Employed
109,sales,1,0.798,3,0,low,0.538,3,Employed
130,procurement,1,0.716,6,0,low,0.175,6,Employed
163,sales,0,0.55,2,0,medium,0.544,3,Employed
67,temp,0,0.73,1,0,low,0.669,3,Employed
184,sales,0,0.763,4,0,medium,0.618,3,Employed
268,engineering,0,0.944,3,0,low,0.936,4,Employed
188,finance,0,0.862,3,0,medium,1,4,Employed
107,engineering,0,0.474,2,0,medium,0.616,3,Employed
156,sales,0,0.621,3,0,medium,0.428,3,Employed
234,IT,1,0.862,4,0,medium,0.627,2,Employed
127,sales,0,0.73,5,0,low,0.834,3,Employed
